Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
19,1963,1B,Cal Emery,26,16,19,19,0,3,1,0,0,0,0,0,0,2,0.158,0.158,0.211,0.368,6,4,0,0,0,0,0,Left,No
20,1963,UT,John Herrnstein,25,15,13,12,1,2,0,0,1,1,0,0,1,5,0.167,0.231,0.417,0.647,84,5,0,0,0,0,0,Left,No
21,1963,,Mickey Harrington,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
22,1963,P,Cal McLish,37,33,78,69,7,14,3,0,0,3,0,0,5,28,0.203,0.257,0.246,0.503,47,17,0,0,4,0,0,Right,Yes
23,1963,P,Ray Culp,21,34,76,66,4,9,1,0,0,4,0,0,3,29,0.136,0.174,0.152,0.325,-5,10,1,0,7,0,0,Right,No
24,1963,P,Chris Short,25,38,73,66,3,7,0,1,0,0,0,0,0,14,0.106,0.106,0.136,0.242,-30,9,0,0,4,0,0,Right,No
25,1963,P,Art Mahaffey,25,26,55,50,2,10,3,0,0,1,0,0,1,12,0.2,0.231,0.26,0.491,42,13,1,1,3,0,0,Right,No
26,1963,P,Dennis Bennett,23,23,44,40,3,9,0,0,1,4,0,1,3,20,0.225,0.279,0.3,0.579,68,12,0,0,1,0,0,Left,No
27,1963,P,Dallas Green,28,42,36,35,1,3,0,0,0,1,0,0,1,17,0.086,0.111,0.086,0.197,-42,3,0,0,0,0,0,Left,No
28,1963,P,Johnny Klippstein,35,49,28,26,1,1,0,0,0,0,0,0,0,14,0.038,0.038,0.038,0.077,-78,1,0,0,2,0,0,Right,No
29,1963,P,Ryne Duren,34,34,24,21,4,3,0,0,0,0,0,0,1,11,0.143,0.25,0.143,0.393,17,3,0,2,0,0,0,Right,No
30,1963,P,Jack Baldschun,26,65,21,20,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
31,1963,P,John Boozer,24,26,21,21,0,3,0,0,0,0,0,0,0,8,0.143,0.143,0.143,0.286,-17,3,0,0,0,0,0,Right,No
32,1963,P,Jack Hamilton,24,19,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
33,1963,P,Paul Brown,22,6,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,191,1,0,0,0,0,0,Right,No
34,1963,P,Marcelino Lopez,19,5,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,1963,P,Bobby Locke,29,9,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
1,1962,C,Clay Dalrymple,25,123,451,370,40,102,13,3,11,54,1,3,70,32,0.276,0.393,0.416,0.809,121,154,7,4,3,4,7,Left,No
2,1962,1B,Roy Sievers,35,144,543,477,61,125,19,5,21,80,2,1,56,80,0.262,0.346,0.455,0.801,117,217,8,7,0,3,3,Right,No
3,1962,2B,Tony Taylor,26,152,702,625,87,162,21,5,7,43,20,9,68,82,0.259,0.336,0.342,0.679,86,214,9,5,3,1,4,Right,No
4,1962,SS,Bobby Wine,23,112,331,311,30,76,15,0,4,25,2,0,11,49,0.244,0.268,0.331,0.599,62,103,18,0,6,3,3,Right,No
5,1962,3B,Don Demeter,27,153,617,550,85,169,24,3,29,107,2,7,41,93,0.307,0.359,0.52,0.879,137,286,11,10,5,11,6,Right,No
6,1962,LF,Ted Savage,26,127,387,335,54,89,11,2,7,39,16,5,40,66,0.266,0.345,0.373,0.718,96,125,6,2,7,3,0,Right,No
7,1962,CF,Tony González,25,118,490,437,76,132,16,4,20,63,17,8,40,82,0.302,0.371,0.494,0.865,134,216,8,9,2,2,5,Left,No
8,1962,RF,Johnny Callison,23,157,672,603,107,181,26,10,23,83,10,3,54,96,0.3,0.363,0.491,0.854,130,296,8,6,8,1,1,Left,No
9,1962,LF,Wes Covington,30,116,331,304,36,86,12,1,9,44,0,0,19,44,0.283,0.324,0.418,0.742,101,127,9,2,1,5,1,Left,No
10,1962,3B,Billy Klaus,33,102,283,248,30,51,8,2,4,20,1,1,29,43,0.206,0.29,0.302,0.593,62,75,4,1,4,1,3,Left,No
11,1962,SS,Rubén Amaro,26,79,265,226,24,55,10,0,0,19,5,2,30,28,0.243,0.33,0.288,0.617,70,65,6,1,4,4,4,Right,No
12,1962,1B,Frank Torre,30,108,200,168,13,52,8,2,0,20,1,1,24,6,0.31,0.404,0.381,0.785,116,64,8,4,2,2,1,Left,No
13,1962,IF,Mel Roach,29,65,111,105,9,20,4,0,0,8,0,0,5,19,0.19,0.225,0.229,0.454,24,24,2,0,0,1,0,Right,No
14,1962,C,Sammy White,34,41,103,97,7,21,4,0,2,12,0,0,2,16,0.216,0.238,0.32,0.557,50,31,6,1,2,1,0,Right,No
15,1962,C,Bob Oldis,34,38,96,80,9,21,1,0,1,10,0,1,13,10,0.263,0.366,0.313,0.678,87,25,2,0,3,0,0,Right,No
16,1962,OF,Jacke Davis,26,48,80,75,9,16,0,1,1,6,1,0,4,20,0.213,0.253,0.28,0.533,45,21,2,0,1,0,0,Right,No
17,1962,RF,John Herrnstein,24,6,6,5,0,1,0,0,0,1,0,0,1,3,0.2,0.333,0.2,0.533,50,1,0,0,0,0,0,Left,No
18,1962,SS,Bobby Malkmus,30,8,5,5,3,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0.6,59,2,0,0,0,0,0,Right,No
19,1962,3B,Billy Consolo,27,13,5,5,3,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,119,2,0,0,0,0,0,Right,No
20,1962,,Jimmie Coker,26,5,5,3,0,0,0,0,0,1,0,0,1,2,0.0,0.2,0.0,0.2,-40,0,0,0,0,1,0,Right,No
21,1962,P,Art Mahaffey,24,42,106,92,6,13,0,1,2,10,0,0,3,29,0.141,0.177,0.228,0.405,10,21,3,1,10,0,0,Right,No
22,1962,P,Dennis Bennett,22,31,69,63,3,8,0,0,1,7,0,0,3,23,0.127,0.167,0.175,0.341,-7,11,1,0,3,0,0,Left,No
23,1962,P,Jack Hamilton,23,41,61,54,1,3,0,0,0,1,0,0,2,29,0.056,0.089,0.056,0.145,-59,3,1,0,5,0,0,Right,No
24,1962,P,Cal McLish,36,32,57,51,2,4,1,0,0,0,0,0,5,24,0.078,0.161,0.098,0.259,-27,5,2,0,1,0,0,Right,Yes
25,1962,P,Chris Short,24,48,41,36,2,8,2,0,0,2,0,0,0,3,0.222,0.216,0.278,0.494,34,10,0,0,4,1,0,Right,No
26,1962,P,Dallas Green,27,47,39,32,5,2,0,0,0,0,1,0,4,18,0.063,0.167,0.063,0.229,-34,2,0,0,3,0,0,Left,No
27,1962,P,Jack Baldschun,25,67,20,16,1,1,0,0,0,0,0,0,2,7,0.063,0.167,0.063,0.229,-34,1,0,0,2,0,0,Right,No
28,1962,P,Jim Owens,28,23,18,14,0,2,1,0,0,1,0,1,1,6,0.143,0.2,0.214,0.414,13,3,0,0,3,0,0,Right,No
29,1962,P,Paul Brown,21,23,15,13,1,2,1,0,0,0,0,0,1,5,0.154,0.214,0.231,0.445,21,3,0,0,1,0,0,Right,No
30,1962,P,Bill Smith,28,24,13,11,1,2,1,0,0,1,0,0,2,4,0.182,0.308,0.273,0.58,60,3,0,0,0,0,0,Left,No
31,1962,P,Bobby Locke,28,5,7,7,0,2,0,0,0,1,0,0,0,2,0.286,0.286,0.286,0.571,56,2,0,0,0,0,0,Right,No
32,1962,P,John Boozer,23,9,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
33,1962,P,Don Ferrarese,33,5,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,448,1,0,0,0,0,0,Right,No
34,1962,P,Frank Sullivan,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,1962,P,Ed Keegan,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1961,C,Clay Dalrymple,24,129,423,378,23,83,11,1,5,42,0,2,30,30,0.22,0.281,0.294,0.575,55,111,11,4,7,4,9,Left,No
2,1961,1B,Pancho Herrera,27,126,461,400,56,103,17,2,13,51,5,1,55,120,0.258,0.351,0.408,0.759,104,163,12,4,0,2,4,Right,No
3,1961,2B,Tony Taylor,25,106,437,400,47,100,17,3,2,26,11,5,29,59,0.25,0.304,0.323,0.626,69,129,10,2,6,0,4,Right,No
4,1961,SS,Rubén Amaro,25,135,447,381,34,98,14,9,1,32,1,0,53,59,0.257,0.351,0.349,0.7,90,133,9,2,11,0,2,Right,No
5,1961,3B,Charley Smith,23,112,452,411,43,102,13,4,9,47,3,4,23,76,0.248,0.294,0.365,0.659,76,150,7,5,10,3,3,Right,No
6,1961,LF,Johnny Callison,22,138,538,455,74,121,20,11,9,47,10,4,69,76,0.266,0.363,0.418,0.78,110,190,7,3,6,5,5,Left,No
7,1961,CF,Tony González,24,126,485,426,58,118,16,8,12,58,15,5,49,66,0.277,0.358,0.437,0.795,113,186,10,6,2,2,7,Left,No
8,1961,RF,Ken Walters,27,86,190,180,23,41,8,2,2,14,2,2,5,25,0.228,0.251,0.328,0.579,55,59,6,1,3,1,0,Right,No
9,1961,UT,Don Demeter,26,106,411,382,54,98,18,4,20,68,2,1,19,74,0.257,0.3,0.482,0.782,106,184,7,5,5,0,2,Right,No
10,1961,MI,Bobby Malkmus,29,121,374,342,39,79,8,2,7,31,1,3,20,43,0.231,0.276,0.327,0.603,62,112,7,2,8,2,1,Right,No
11,1961,CI,Lee Walls,28,91,285,261,32,73,6,4,8,30,2,2,19,48,0.28,0.329,0.425,0.754,101,111,9,0,5,0,1,Right,No
12,1961,LF,Bobby Smith,27,79,192,174,16,44,7,0,2,18,0,1,15,32,0.253,0.313,0.328,0.64,73,57,5,1,0,2,2,Right,No
13,1961,RF,Wes Covington,29,57,183,165,23,50,9,0,7,26,0,0,15,17,0.303,0.355,0.485,0.84,124,80,4,0,0,3,1,Left,No
14,1961,CF,Bobby Del Greco,28,41,129,112,14,29,5,0,2,11,0,0,12,17,0.259,0.344,0.357,0.701,89,40,3,3,1,1,1,Right,No
15,1961,C,Darrell Johnson,32,21,65,61,4,14,1,0,0,3,0,0,3,8,0.23,0.277,0.246,0.523,43,15,2,1,0,0,0,Right,No
16,1961,3B,Bob Sadowski,24,16,59,54,4,7,0,0,0,0,1,0,4,7,0.13,0.203,0.13,0.333,-8,7,2,1,0,0,0,Left,No
17,1961,3B,Jim Woods,21,23,55,48,6,11,3,0,2,9,0,0,4,15,0.229,0.296,0.417,0.713,90,20,3,1,1,1,2,Right,No
18,1961,RF,Elmer Valo,40,50,52,43,4,8,2,0,1,8,0,0,8,6,0.186,0.327,0.302,0.629,71,13,0,1,0,0,0,Left,No
19,1961,C,Choo-Choo Coleman,25,34,50,47,3,6,1,0,0,4,0,0,2,8,0.128,0.18,0.149,0.329,-10,7,1,1,0,0,0,Left,No
20,1961,2B,George Williams,21,17,41,36,4,9,0,0,0,1,0,0,4,4,0.25,0.325,0.25,0.575,58,9,0,0,1,0,0,Right,No
21,1961,LF,Tony Curry,23,15,37,36,3,7,2,0,0,3,0,0,1,8,0.194,0.216,0.25,0.466,25,9,0,0,0,0,0,Left,No
22,1961,C,Cal Neeman,32,19,36,31,0,7,1,0,0,2,1,0,4,8,0.226,0.306,0.258,0.564,54,8,2,0,0,1,1,Right,No
23,1961,C,Jimmie Coker,25,11,33,25,3,10,1,0,1,4,1,0,7,4,0.4,0.531,0.56,1.091,195,14,0,0,1,0,1,Right,No
24,1961,C,Al Kenders,24,10,24,23,0,4,1,0,0,1,0,0,1,0,0.174,0.208,0.217,0.426,15,5,2,0,0,0,0,Right,No
25,1961,SS,Joe Koppe,30,6,3,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
26,1961,P,Art Mahaffey,23,36,79,63,3,8,2,0,0,3,0,0,3,20,0.127,0.164,0.159,0.323,-12,10,2,0,12,1,0,Right,No
27,1961,P,John Buzhardt,24,41,68,57,2,6,2,0,0,1,0,0,3,29,0.105,0.164,0.14,0.304,-17,8,1,1,7,0,0,Right,No
28,1961,P,Chris Short,23,40,45,37,1,6,0,0,0,2,1,0,1,10,0.162,0.184,0.162,0.346,-6,6,2,0,7,0,0,Right,No
29,1961,P,Frank Sullivan,31,49,41,33,2,5,0,0,0,2,0,0,5,10,0.152,0.263,0.152,0.415,16,5,1,0,3,0,0,Right,No
30,1961,P,Dallas Green,26,42,40,33,4,5,0,0,0,3,0,0,5,13,0.152,0.282,0.152,0.434,21,5,0,1,1,0,0,Left,No
31,1961,P,Don Ferrarese,32,43,40,35,1,6,0,0,0,1,0,0,1,4,0.171,0.194,0.171,0.366,0,6,1,0,4,0,0,Right,No
32,1961,P,Robin Roberts,34,26,36,33,1,3,0,0,0,0,0,0,1,11,0.091,0.143,0.091,0.234,-35,3,1,1,1,0,0,Right,Yes
33,1961,P,Jim Owens,27,21,36,27,0,2,0,0,0,1,0,0,4,12,0.074,0.194,0.074,0.268,-24,2,2,0,5,0,0,Right,No
34,1961,P,Jack Baldschun,24,65,13,11,0,0,0,0,0,0,0,0,1,7,0.0,0.083,0.0,0.083,-75,0,1,0,1,0,0,Right,No
35,1961,P,Ken Lehman,33,42,6,6,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
36,1961,P,Turk Farrell,27,5,2,2,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,171,1,0,0,0,0,0,Right,No
37,1961,P,Paul Brown,20,5,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,171,1,0,0,0,0,0,Right,No
38,1961,P,Jack Meyer,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1960,C,Jimmie Coker,24,81,285,252,18,54,5,3,6,34,0,3,23,45,0.214,0.289,0.329,0.619,70,83,5,4,5,1,2,Right,No
2,1960,1B,Pancho Herrera,26,145,575,512,61,144,26,6,17,71,2,3,51,136,0.281,0.348,0.455,0.803,119,233,17,5,0,7,6,Right,No
3,1960,2B,Tony Taylor,24,127,551,505,66,145,22,4,4,35,24,11,33,86,0.287,0.33,0.37,0.701,93,187,10,2,6,5,2,Right,No
4,1960,SS,Rubén Amaro,24,92,292,264,25,61,9,1,0,16,0,1,21,32,0.231,0.292,0.273,0.564,57,72,5,2,4,1,2,Right,No
5,1960,3B,Al Dark,38,55,221,198,29,48,5,1,3,14,1,1,19,14,0.242,0.315,0.323,0.638,77,64,5,2,2,0,2,Right,No
6,1960,LF,Bobby Smith,26,98,230,217,24,62,5,2,4,27,2,3,10,28,0.286,0.317,0.382,0.7,92,83,6,0,3,0,1,Right,No
7,1960,CF,Bobby Del Greco,27,100,363,300,48,71,16,4,10,26,1,5,54,64,0.237,0.355,0.417,0.772,112,125,4,1,8,0,0,Right,No
8,1960,RF,Ken Walters,26,124,451,426,42,102,10,0,8,37,4,3,16,50,0.239,0.266,0.319,0.585,61,136,11,1,4,4,3,Right,No
9,1960,OF,Johnny Callison,21,99,335,288,36,75,11,5,9,30,0,4,45,70,0.26,0.36,0.427,0.787,116,123,1,0,2,0,2,Left,No
10,1960,LF,Tony Curry,22,95,265,245,26,64,14,2,6,34,0,2,16,53,0.261,0.308,0.408,0.716,96,100,1,1,1,1,2,Left,No
11,1960,CF,Tony González,23,78,255,241,27,72,17,5,6,33,2,2,11,47,0.299,0.337,0.485,0.823,124,117,4,3,0,0,0,Left,No
12,1960,3B,Lee Walls,27,65,199,181,19,36,6,1,3,19,3,2,14,32,0.199,0.253,0.293,0.545,50,53,4,0,1,3,1,Right,No
13,1960,SS,Joe Koppe,29,58,195,170,13,29,6,1,1,13,3,2,23,47,0.171,0.272,0.235,0.507,41,40,2,1,0,1,3,Right,No
14,1960,C,Clay Dalrymple,23,82,180,158,11,43,6,2,4,21,0,0,15,21,0.272,0.343,0.411,0.754,107,65,4,3,2,2,4,Left,No
15,1960,C,Cal Neeman,31,59,180,160,13,29,6,2,4,13,0,0,16,42,0.181,0.264,0.319,0.583,60,51,5,2,2,0,2,Right,No
16,1960,3B,Ted Lepcio,30,69,163,141,16,32,7,0,2,8,0,3,17,41,0.227,0.315,0.319,0.634,75,45,4,2,1,2,1,Right,No
17,1960,IF,Bobby Malkmus,28,79,147,133,16,28,4,1,1,12,2,2,11,28,0.211,0.267,0.278,0.545,51,37,2,0,1,2,0,Right,No
18,1960,UT,Harry Anderson,28,38,105,93,10,23,2,0,5,12,0,0,10,19,0.247,0.333,0.43,0.763,109,40,2,2,0,0,1,Left,No
19,1960,LF,Wally Post,30,34,94,84,11,24,6,1,2,12,0,0,9,24,0.286,0.351,0.452,0.803,120,38,1,0,0,1,1,Right,No
20,1960,3B,Joe Morgan,29,26,89,83,5,11,2,2,0,2,0,0,6,11,0.133,0.191,0.205,0.396,9,17,3,0,0,0,1,Left,No
21,1960,1B,Ed Bouchee,27,22,76,65,1,17,4,0,0,8,0,0,9,11,0.262,0.355,0.323,0.678,89,21,1,1,0,1,2,Left,No
22,1960,3B,Jim Woods,20,11,37,34,4,6,0,0,1,3,0,0,3,13,0.176,0.243,0.265,0.508,40,9,0,0,0,0,1,Right,No
23,1960,UT,Dave Philley,40,14,18,15,2,5,2,0,0,4,0,0,3,2,0.333,0.444,0.467,0.911,152,7,1,0,0,0,1,Right,Yes
24,1960,SS,Bobby Wine,21,4,14,14,1,2,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,-21,2,0,0,0,0,0,Right,No
25,1960,P,Robin Roberts,33,35,89,79,6,12,1,0,0,4,1,1,6,26,0.152,0.212,0.165,0.376,6,13,0,0,4,0,0,Right,Yes
26,1960,P,John Buzhardt,23,32,66,62,7,10,0,1,0,1,0,0,1,29,0.161,0.172,0.194,0.365,1,12,0,0,2,1,0,Right,No
27,1960,P,Gene Conley,29,29,66,63,3,8,2,0,1,5,0,0,0,14,0.127,0.141,0.206,0.347,-6,13,2,1,2,0,0,Right,No
28,1960,P,Jim Owens,26,31,49,44,0,3,0,0,0,1,0,0,2,17,0.068,0.109,0.068,0.177,-50,3,2,0,3,0,0,Right,No
29,1960,P,Dallas Green,25,24,37,34,2,7,1,0,0,2,0,0,1,9,0.206,0.229,0.235,0.464,28,8,0,0,2,0,0,Left,No
30,1960,P,Art Mahaffey,22,14,35,30,1,3,0,0,0,1,0,0,0,8,0.1,0.1,0.1,0.2,-45,3,1,0,5,0,0,Right,No
31,1960,P,Chris Short,22,42,25,25,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
32,1960,P,Turk Farrell,26,59,18,15,0,3,1,0,0,2,0,0,1,3,0.2,0.25,0.267,0.517,43,4,1,0,2,0,0,Right,No
33,1960,P,Rubén Gómez,32,22,14,12,0,1,0,0,0,0,0,0,1,3,0.083,0.154,0.083,0.237,-32,1,0,0,1,0,0,Right,No
34,1960,P,Jack Meyer,28,7,10,8,1,1,0,0,0,0,0,0,1,4,0.125,0.222,0.125,0.347,-1,1,0,0,1,0,0,Right,No
35,1960,P,Don Cardwell,24,5,10,8,2,2,0,0,2,3,0,0,0,5,0.25,0.25,1.0,1.25,225,8,0,0,2,0,0,Right,No
36,1960,P,Humberto Robinson,30,33,6,6,0,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,-8,1,0,0,0,0,0,Right,No
37,1960,P,Al Neiger,21,6,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,177,1,0,0,0,0,0,Left,No
38,1960,P,Hank Mason,29,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
39,1960,P,Taylor Phillips,27,10,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
40,1960,P,Curt Simmons,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
1,1959,C,Carl Sawatski,31,74,233,198,15,58,10,0,9,43,0,0,32,36,0.293,0.392,0.48,0.872,131,95,5,1,1,1,11,Left,No
2,1959,1B,Ed Bouchee,26,136,582,499,75,142,29,4,15,74,0,4,70,74,0.285,0.375,0.449,0.824,118,224,13,5,2,5,4,Left,No
3,1959,2B,Sparky Anderson,25,152,527,477,42,104,9,3,0,34,6,9,42,53,0.218,0.282,0.249,0.531,43,119,15,1,5,2,1,Right,No
4,1959,SS,Joe Koppe,28,126,472,422,68,110,18,7,7,28,7,7,41,80,0.261,0.327,0.386,0.713,89,163,6,2,4,3,0,Right,No
5,1959,3B,Gene Freese,25,132,457,400,60,107,14,5,23,70,8,4,43,61,0.268,0.343,0.5,0.843,121,200,8,5,5,4,4,Right,No
6,1959,LF,Harry Anderson,27,142,561,508,50,122,28,6,14,63,1,1,43,95,0.24,0.304,0.402,0.706,86,204,9,5,2,3,14,Left,No
7,1959,CF,Richie Ashburn,32,153,660,564,86,150,16,2,1,20,9,11,79,42,0.266,0.36,0.307,0.667,80,173,10,6,7,4,4,Left,No
8,1959,RF,Wally Post,29,132,510,468,62,119,17,6,22,94,0,0,36,101,0.254,0.31,0.457,0.767,101,214,7,3,0,3,4,Right,No
9,1959,UT,Dave Philley,39,99,278,254,32,74,18,2,7,37,0,0,18,27,0.291,0.339,0.461,0.8,110,117,3,1,4,1,3,Right,Yes
10,1959,3B,Willie Jones,33,47,182,160,23,43,9,1,7,24,0,0,19,14,0.269,0.343,0.469,0.811,113,75,4,0,1,2,2,Right,No
11,1959,C,Valmy Thomas,33,66,151,140,5,28,2,0,1,7,1,0,9,19,0.2,0.253,0.236,0.489,31,33,7,1,1,0,2,Right,No
12,1959,SS,Chico Fernández,27,45,139,123,15,26,5,1,0,3,2,1,10,11,0.211,0.269,0.268,0.537,44,33,4,0,5,1,0,Right,No
13,1959,C,Joe Lonnett,32,43,112,93,8,16,1,0,1,10,0,1,14,17,0.172,0.284,0.215,0.499,35,20,3,1,3,1,2,Right,No
14,1959,UT,Harry Hanebrink,31,57,100,97,10,25,3,1,1,7,0,0,2,12,0.258,0.273,0.34,0.613,62,33,3,0,1,0,0,Left,No
15,1959,OF,Bob Bowman,28,57,85,79,7,10,0,0,2,5,0,0,5,23,0.127,0.176,0.203,0.379,1,16,3,0,0,1,0,Right,No
16,1959,OF,Solly Drake,28,67,70,62,10,9,1,0,0,3,5,5,8,15,0.145,0.243,0.161,0.404,10,10,0,0,0,0,0,Right,Yes
17,1959,SS,Granny Hamner,32,21,69,64,10,19,4,0,2,6,0,1,5,5,0.297,0.348,0.453,0.801,111,29,2,0,0,0,1,Right,No
18,1959,C,Jim Hegan,38,25,57,51,1,10,1,0,0,8,0,1,3,10,0.196,0.232,0.216,0.448,20,11,0,0,1,2,1,Right,No
19,1959,OF,Jim Bolger,27,35,52,48,1,4,1,0,0,1,0,0,3,8,0.083,0.135,0.104,0.239,-35,5,4,0,0,1,1,Right,No
20,1959,,John Easton,26,3,3,3,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
21,1959,P,Robin Roberts,32,35,97,89,6,17,5,0,0,3,0,0,5,23,0.191,0.242,0.247,0.489,31,22,4,1,2,0,0,Right,Yes
22,1959,P,Jim Owens,25,31,84,75,0,9,1,0,0,6,0,0,6,35,0.12,0.185,0.133,0.319,-13,10,0,0,3,0,0,Right,No
23,1959,P,Gene Conley,28,25,72,67,3,16,2,0,0,5,0,1,0,16,0.239,0.25,0.269,0.519,38,18,0,1,4,0,0,Right,No
24,1959,P,Don Cardwell,23,26,58,55,3,3,0,0,1,2,0,0,1,28,0.055,0.088,0.109,0.197,-48,6,1,1,1,0,0,Right,No
25,1959,P,Ray Semproch,28,30,36,34,1,6,0,0,0,2,0,0,0,16,0.176,0.176,0.176,0.353,-6,6,0,0,2,0,0,Right,No
26,1959,P,Rubén Gómez,31,24,21,17,0,3,0,0,0,1,0,0,1,5,0.176,0.222,0.176,0.399,8,3,0,0,3,0,0,Right,No
27,1959,P,Humberto Robinson,29,31,17,13,2,3,1,0,0,2,0,0,2,4,0.231,0.313,0.308,0.62,66,4,0,0,1,1,0,Right,No
28,1959,P,Jack Meyer,27,47,14,14,1,1,0,0,0,0,0,0,0,9,0.071,0.071,0.071,0.143,-62,1,0,0,0,0,0,Right,No
29,1959,P,Taylor Phillips,26,32,11,11,1,1,0,0,0,0,0,0,0,6,0.091,0.091,0.091,0.182,-51,1,0,0,0,0,0,Left,No
30,1959,P,Turk Farrell,25,38,7,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,-11,1,0,0,1,0,0,Right,No
31,1959,P,Chris Short,21,3,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
32,1959,P,Al Schroll,27,3,4,4,0,1,1,0,0,2,0,0,0,1,0.25,0.25,0.5,0.75,93,2,0,0,0,0,0,Right,No
33,1959,P,Seth Morehead,24,3,3,3,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
34,1959,P,Jim Hearn,38,6,3,2,1,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,-1,0,0,0,0,0,0,Right,No
35,1959,P,Ed Keegan,19,3,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
36,1959,P,Curt Simmons,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
37,1959,P,Freddy Rodriguez,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1958,C,Stan Lopata,32,86,322,258,36,64,9,0,9,33,0,1,60,63,0.248,0.391,0.388,0.779,109,100,15,2,0,2,9,Right,No
2,1958,1B,Ed Bouchee,25,89,389,334,55,86,19,5,9,39,1,0,51,74,0.257,0.355,0.425,0.78,107,142,10,0,3,1,4,Left,No
3,1958,2B,Solly Hemus,35,105,401,334,53,95,14,3,8,36,3,1,51,34,0.284,0.39,0.416,0.806,115,139,4,8,6,2,6,Left,No
4,1958,SS,Chico Fernández,26,148,578,522,38,120,18,5,6,51,12,6,37,48,0.23,0.28,0.318,0.598,59,166,15,2,10,7,3,Right,No
5,1958,3B,Willie Jones,32,118,456,398,52,108,15,1,14,60,1,2,49,45,0.271,0.351,0.42,0.771,104,167,8,2,3,4,4,Right,No
6,1958,LF,Harry Anderson,26,140,585,515,80,155,34,6,23,97,0,2,59,95,0.301,0.373,0.524,0.897,136,270,12,3,3,5,10,Left,No
7,1958,CF,Richie Ashburn,31,152,725,615,98,215,24,13,2,33,30,12,97,48,0.35,0.44,0.441,0.881,136,271,8,4,7,2,7,Left,No
